action,match_key,display_name,sources,status,remark
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvo""pribaltiskisudostroitelnyzavod""yantar",Aktsionernoe Obshchestvo “Pribaltiski Sudostroitelny Zavod “Yantar”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvo""sudostroitelnyzavod""vympel",Aktsionernoe Obshchestvo “Sudostroitelny Zavod “Vympel”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvogosudarstvennoenauchno-proizvodstvennoepredpriyatie""region",Aktsionernoe Obshchestvo Gosudarstvennoe Nauchno-Proizvodstvennoe Predpriyatie “Region”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvolls.,Aktsionernoe Obshchestvo LLS.,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvoosobayaekonomicheskayazonapromyshlenno-,Aktsionernoe Obshchestvo Osobaya Ekonomicheskaya Zona Promyshlenno-,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvopapilon,Aktsionernoe Obshchestvo Papilon,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvopribaltiskisudostroitelnyzavodyantar,"Pribaltiski Sudostroitelny Zavod Yantar, Aktsionernoe Obshchestvo",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvoproton,Aktsionernoe Obshchestvo Proton,OFAC;経産省,有効,制裁リスト（経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvorubin,Aktsionernoe Obshchestvo Rubin,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvosudostroitelnyzavodvympel,"Sudostroitelny Zavod Vympel, Aktsionernoe Obshchestvo",経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvotsentralnoekonstruktorskoebyurolazurit,Aktsionernoe Obshchestvo Tsentralnoe Konstruktorskoe Byuro Lazurit,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeobshchestvoturaevskoemashinostroitelnoekonstruktorskoebyuro,Aktsionernoe Obshchestvo Turaevskoe Mashinostroitelnoe Konstruktorskoe Byuro,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,"aktsionernoeobshchestvouralskoeproektno-konstruktorskoebyuro""detal",Aktsionernoe Obshchestvo Uralskoe Proektno-Konstruktorskoe Byuro “Detal”,経産省,有効,制裁リスト（経産省）
HOLD_LEGACY_NOT_IN_CURRENT,aktsionernoeoschevstvogolovnoeproizvodstvenno-tehnicheskoepredpriyatiegranit,Aktsionernoe Oschevstvo Golovnoe Proizvodstvenno-Tehnicheskoe Predpriyatie Granit,OFAC;経産省;財務省,有効,制裁リスト（財務省：ロシア連邦(団体(特定銀行を除く))／経産省／OFAC：SDN）
HOLD_LEGACY_NOT_IN_CURRENT,alabuga-fibrellc,Alabuga-Fibre LLC,経産省,有効,制裁リスト（経産省）
